battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
842,0,2.2,0,1,0,7,0.6,188,2,2,20,756,2549,9,7,19,0,0,1,1
1021,1,0.5,1,0,1,53,0.7,136,3,6,905,1988,2631,17,3,7,1,1,0,2
563,1,0.5,1,2,1,41,0.9,145,5,6,126,1716,2603,11,2,9,1,1,0,2
615,0,2.5,0,0,0,10,0.8,131,6,9,121,1786,2769,16,8,11,1,0,0,2
1821,1,1.2,0,13,1,44,0.6,141,8,14,146,1263,1411,8,2,15,1,1,0,1
1859,0,0.5,1,3,0,22,0.7,164,1,7,138,921,1067,17,1,7,0,0,0,0
1821,0,1.7,1,4,1,32,0.8,139,8,9,175,1633,3220,17,1,17,1,0,1,3
1954,0,0.5,1,0,1,24,0.8,187,4,0,174,1826,700,17,9,13,1,1,1,0
1445,1,0.5,0,0,0,53,0.7,174,7,14,263,1029,1099,10,0,10,1,0,0,0
509,1,0.6,1,2,1,9,0.1,93,5,15,29,1229,513,19,10,12,1,0,1,0
